portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,770484,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7896,0.0027636,-0.7923636,USD
default,770485,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7897,0.00276395,-0.79246395,USD
default,770486,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1269.00000000,SUKU,0.7897,3.50745255,-1005.63675255,USD
default,770487,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,105.60000000,SUKU,0.7897,0.29187312,-83.68419312,USD
default,770488,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,105.60000000,SUKU,0.7897,0.29187312,-83.68419312,USD
default,770489,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,508.00000000,SUKU,0.7897,1.4040866,-402.5716866,USD
default,770490,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7898,0.0027643,-0.7925643,USD
default,770491,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7898,0.0027643,-0.7925643,USD
default,770492,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7898,0.0027643,-0.7925643,USD
default,770493,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7899,0.00276465,-0.79266465,USD
default,770494,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7899,0.00276465,-0.79266465,USD
default,770495,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7899,0.00276465,-0.79266465,USD
default,770496,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.79,0.002765,-0.792765,USD
default,770497,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7901,0.00276535,-0.79286535,USD
default,770498,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7902,0.0027657,-0.7929657,USD
default,770499,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7903,0.00276605,-0.79306605,USD
default,770500,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7904,0.0027664,-0.7931664,USD
default,770501,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1.00000000,SUKU,0.7904,0.0027664,-0.7931664,USD
default,770502,SUKU-USD,BUY,2021-11-29T15:02:21.161Z,1022.90000000,SUKU,0.7904,2.82975056,-811.32991056,USD
default,786786,SUKU-USD,SELL,2021-11-30T13:48:13.208Z,10579.00000000,SUKU,0.8401,13.33112685,8874.08677315,USD
default,821360,SUKU-USD,BUY,2021-12-02T17:06:32.946Z,292.90000000,SUKU,0.7548,0.5527023,-221.6336223,USD
default,1353655,SUKU-USD,SELL,2022-01-21T15:04:31.289Z,143.40000000,SUKU,0.9535,0.6836595,136.0482405,USD
default,1353656,SUKU-USD,SELL,2022-01-21T15:04:31.289Z,19.00000000,SUKU,0.9535,0.0905825,18.0259175,USD
default,1353657,SUKU-USD,SELL,2022-01-21T15:04:31.289Z,130.50000000,SUKU,0.9534,0.6220935,123.7966065,USD
default,12589209,LRC-USD,SELL,2021-11-05T14:49:16.386Z,75.00000000,LRC,1.4699,0.5512125,109.6912875,USD
default,16694949,LRC-USD,BUY,2021-11-15T12:05:52.230Z,50.00000000,LRC,2.9706,0.74265,-149.27265,USD
default,16823949,LRC-USD,BUY,2021-11-16T03:34:12.286Z,113.00000000,LRC,2.6274,1.484481,-298.380681,USD
